id,clave,nombre
cve_clave_unidad168,XJY,"Bidón, cilíndrico"
cve_clave_unidad169,XKG,Barrilete
cve_clave_unidad170,XKI,Kit (Conjunto de piezas)
cve_clave_unidad171,XLE,Valijas
cve_clave_unidad172,XLG,Bitácora
cve_clave_unidad173,XLT,Lote
cve_clave_unidad174,XLU,Caja de arrastre
cve_clave_unidad175,XLV,Contenedor pequeño
cve_clave_unidad176,XLZ,Registros  con fleje/ agrupados/ armados
cve_clave_unidad177,XMA,Cajón metálico
cve_clave_unidad178,XMB,Múltiplo de bolsas
cve_clave_unidad179,XMC,Cajón para leche
cve_clave_unidad180,XME,Contenedor de metal
cve_clave_unidad181,XMR,Recipiente de metal
cve_clave_unidad182,XMS,Saco milti-pared
cve_clave_unidad183,XMT,Tapete
cve_clave_unidad184,XMW,Contenedor envuelto en plástico
cve_clave_unidad185,XMX,Caja pequeña de cerillos
cve_clave_unidad186,XNA,No disponible
cve_clave_unidad187,XNE,Sin empaque o no empaquetado
cve_clave_unidad188,XNF,"Sin empaque o no empaquetado, unidad simple"
cve_clave_unidad189,XNG,"Sin empaque o no empaquetado, unidades múltiples"
cve_clave_unidad190,XNS,Caja nido
cve_clave_unidad191,XNT,Red
cve_clave_unidad192,XNU,Red de plástico con tubo
cve_clave_unidad193,XNV,Red textil con tubo
cve_clave_unidad194,XOA,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 40 cm x 60 cm"
cve_clave_unidad195,XOB,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 80 cm x 120 cm"
cve_clave_unidad196,XOC,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 100 cm x 120 cm"
cve_clave_unidad197,XOD,"Pallet, AS 4068-1993"
cve_clave_unidad198,XOE,"Pallet, ISO T11"
cve_clave_unidad199,XOF,"Plataforma, peso o dimensión no especificada"
cve_clave_unidad200,XOK,Bloque
cve_clave_unidad201,XOT,Octabin
cve_clave_unidad202,XP2,Charola
cve_clave_unidad203,XPA,Cajetilla
cve_clave_unidad204,XPB,"Pallet, Caja combinada y abierta con caja y pallet."
cve_clave_unidad205,XPC,Paquete postal
cve_clave_unidad206,XPD,Pallet modular con collares (80cms * 100cms)
cve_clave_unidad207,XPE,Pallet modular con collares (80cms * 120cms)
cve_clave_unidad208,XPF,Corral
cve_clave_unidad209,XPG,Placa
cve_clave_unidad210,XPH,Cantaro
cve_clave_unidad211,XPI,Pleca
cve_clave_unidad212,XPJ,Canastilla
cve_clave_unidad213,XPK,Paquete
cve_clave_unidad214,XPL,Balde
cve_clave_unidad215,XPN,Tablón
cve_clave_unidad216,XPO,Bolsa pequeña
cve_clave_unidad217,XPR,Contenedor de plástico
cve_clave_unidad218,XPT,Maceta
cve_clave_unidad219,XPU,Cacerola
cve_clave_unidad220,XPV,"Tubos, con fleje/ agrupados/ armados"
cve_clave_unidad221,XPX,Pallet
cve_clave_unidad222,XPY,Placas con fleje/ agrupados/ armados
